"filename", "language", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\ramzy\projects\personal projects\marvomics\pages\404.js", "JavaScript", 0, -10, 0, -2, -12
"c:\Users\ramzy\projects\personal projects\marvomics\pages\_app.js", "JavaScript", 0, -8, 0, -3, -11
"c:\Users\ramzy\projects\personal projects\marvomics\pages\_document.js", "JavaScript", 0, -17, 0, -2, -19
"c:\Users\ramzy\projects\personal projects\marvomics\pages\characters\[characterId].js", "JavaScript", 0, -7, 0, -2, -9
"c:\Users\ramzy\projects\personal projects\marvomics\pages\characters\index.js", "JavaScript", 0, -15, 0, -3, -18
"c:\Users\ramzy\projects\personal projects\marvomics\pages\comics\[comicId].js", "JavaScript", 0, -7, 0, -2, -9
"c:\Users\ramzy\projects\personal projects\marvomics\pages\comics\index.js", "JavaScript", 0, -15, 0, -3, -18
"c:\Users\ramzy\projects\personal projects\marvomics\pages\index.js", "JavaScript", 0, -23, 0, -3, -26
"c:\Users\ramzy\projects\personal projects\marvomics\public\assets\404.svg", "XML", 46, 0, 0, 1, 47
"c:\Users\ramzy\projects\personal projects\marvomics\public\assets\icons\chevron-right.svg", "XML", 3, 0, 0, 1, 4
"c:\Users\ramzy\projects\personal projects\marvomics\public\assets\icons\github.svg", "XML", 10, 0, 0, 1, 11
"c:\Users\ramzy\projects\personal projects\marvomics\public\assets\icons\menu.svg", "XML", 3, 0, 0, 1, 4
"c:\Users\ramzy\projects\personal projects\marvomics\public\assets\icons\packs.svg", "XML", 6, 0, 0, 1, 7
"c:\Users\ramzy\projects\personal projects\marvomics\public\vercel.svg", "XML", 4, 0, 0, 0, 4
"Total", "-", 72, -102, 0, -15, -45
